# s_m, x_m, y_m, vx_mps
7.1380311,12.2777156,4.8950172,5.0
7.1680228,12.3029791,4.9111807,5.0
7.1980146,12.3282752,4.9272931,5.0
7.2280063,12.353604,4.9433541,5.0
7.257998,12.3789655,4.9593634,5.0
7.2879897,12.4043596,4.9753209,5.0
7.3179815,12.4297862,4.9912267,5.0
7.3479732,12.4552447,5.0070811,5.0
7.3779649,12.4807351,5.0228845,5.0
7.4079566,12.5062569,5.038637,5.0
7.4379484,12.5318096,5.0543393,5.0
7.4679401,12.5573926,5.0699922,5.0
7.4979318,12.5830052,5.0855966,5.0
7.5279236,12.6086467,5.1011535,5.0
7.5579153,12.6343165,5.1166638,5.0
7.587907,12.6600137,5.1321285,5.0
7.6178987,12.6857377,5.1475486,5.0
7.6478905,12.7114879,5.1629249,5.0
7.6778822,12.7372636,5.1782584,5.0
7.7078739,12.7630641,5.1935503,5.0
7.7378656,12.7888887,5.2088013,5.0
7.7678574,12.8147368,5.2240124,5.0
7.7978491,12.8406077,5.2391848,5.0
7.8278408,12.8665008,5.2543192,5.0
7.8578326,12.8924154,5.2694168,5.0
7.8878243,12.9183509,5.2844785,5.0
7.917816,12.9443067,5.2995052,5.0
7.9478077,12.970282,5.3144981,5.0
7.9777995,12.9962763,5.329458,5.0
8.0077912,13.022289,5.344386,5.0
8.0377829,13.0483194,5.359283,5.0
8.0677746,13.0743669,5.3741502,5.0
8.0977664,13.1004309,5.3889884,5.0
8.1277581,13.1265107,5.4037988,5.0
8.1577498,13.1526058,5.4185822,5.0
8.1877416,13.1787155,5.4333397,5.0
8.2177333,13.2048393,5.4480724,5.0
8.247725,13.2309765,5.4627812,5.0
8.2777167,13.2571266,5.4774672,5.0
8.3077085,13.2832889,5.4921314,5.0
8.3377002,13.3094628,5.5067748,5.0
8.3676919,13.3356478,5.5213984,5.0
8.3976836,13.3618432,5.5360033,5.0
8.4276754,13.3880485,5.5505905,5.0
8.4576671,13.414263,5.5651611,5.0
8.4876588,13.4404863,5.5797159,5.0
8.5176506,13.4667176,5.5942562,5.0
8.5476423,13.4929565,5.6087829,5.0
8.577634,13.5192023,5.6232971,5.0
8.6076257,13.5454544,5.6377998,5.0
8.6376175,13.5717123,5.652292,5.0
8.6676092,13.5979755,5.6667747,5.0
8.6976009,13.6242432,5.6812492,5.0
8.7275926,13.650515,5.6957162,5.0
8.7575844,13.6767902,5.710177,5.0
8.7875761,13.7030684,5.7246325,5.0
8.8175678,13.7293488,5.7390837,5.0
8.8475596,13.755631,5.7535319,5.0
8.8775513,13.7819144,5.7679778,4.9993401
8.907543,13.8081984,5.7824227,4.9813901
8.9375347,13.8344824,5.7968675,4.9633661
8.9675265,13.8607659,5.8113133,4.9453506
8.9975182,13.8870482,5.8257611,4.9273425
9.0275099,13.9133289,5.840212,4.9093409
9.0575016,13.9396073,5.854667,4.8913445
9.0874934,13.9658829,5.8691271,4.8733523
9.1174851,13.9921551,5.8835934,4.8553631
9.1474768,14.0184233,5.8980669,4.8373758
9.1774686,14.044687,5.9125486,4.8193892
9.2074603,14.0709456,5.9270396,4.8014023
9.237452,14.0971985,5.9415408,4.7834134
9.2674437,14.1234453,5.9560534,4.7654221
9.2974355,14.1496848,5.9705781,4.747429
9.3274272,14.1759161,5.9851155,4.7293675
9.3574189,14.202141,5.999666,4.7111861
9.3874106,14.2283601,6.0142283,4.6928338
9.4174024,14.2545734,6.028801,4.674343
9.4473941,14.2807811,6.0433838,4.655734
9.4773858,14.3069833,6.0579764,4.6370451
9.5073776,14.33318,6.072579,4.6182877
9.5373693,14.3593709,6.0871917,4.5994608
9.567361,14.3855561,6.1018149,4.5805632
9.5973527,14.4117354,6.1164486,4.5615942
9.6273445,14.4379086,6.1310931,4.5425529
9.6573362,14.4640757,6.1457485,4.5234385
9.6873279,14.4902366,6.1604151,4.5042502
9.7173196,14.5163911,6.1750929,4.4849874
9.7473114,14.5425391,6.1897823,4.4656494
9.7773031,14.5686804,6.2044835,4.4462357
9.8072948,14.594815,6.2191967,4.4267456
9.8372866,14.6209427,6.2339221,4.4071786
9.8672783,14.6470634,6.24866,4.3875343
9.89727,14.6731768,6.2634106,4.3678121
9.9272617,14.6992828,6.2781742,4.3480116
9.9572535,14.7253813,6.2929512,4.3281323
9.9872452,14.7514721,6.3077418,4.3081738
10.0172369,14.777555,6.3225463,4.2881356
10.0472286,14.8036297,6.337365,4.2680173
10.0772204,14.8296962,6.3521985,4.2478186
10.1072121,14.8557541,6.3670469,4.2275389
10.1372038,14.8818032,6.3819107,4.2071779
10.1671956,14.9078433,6.3967903,4.1867351
10.1971873,14.9338742,6.4116862,4.1662102
10.227179,14.9598955,6.4265988,4.1456025
