# s_m, x_m, y_m, vx_mps
365.8282572,250.7584631,188.8648952,18.6054961
366.827788,249.7740129,188.6919306,18.6666097
367.8273187,248.7904989,188.5137174,18.70459
368.8268495,247.8079503,188.3302541,18.5820612
369.8263802,246.8263995,188.1415233,18.4585265
370.825911,245.8458998,187.9474026,18.3362348
371.8254417,244.8665492,187.7475631,18.2156703
372.8249725,243.8884738,187.5415708,18.0977263
373.8245033,242.9118473,187.3288154,17.9856691
374.824034,241.9369351,187.1083347,17.8801867
375.8235648,240.964069,186.8790215,17.7818033
376.8230955,239.9936236,186.6396663,17.6922239
377.8226263,239.0260653,186.3889005,17.6112675
378.822157,238.0619133,186.1253475,17.5390209
379.8216878,237.1017415,185.8476501,17.4755034
380.8212186,236.1461861,185.554475,17.4207462
381.8207493,235.1959461,185.2445199,17.3747597
382.8202801,234.2517895,184.9165232,17.3375259
383.8198108,233.3145507,184.5692728,17.3089916
384.8193416,232.3851404,184.2016217,17.2890523
385.8188723,231.4645197,183.812496,17.277398
386.8184031,230.5537319,183.4009191,17.2747313
387.8179339,229.6539644,182.9660575,17.2747313
388.8174646,228.7657867,182.507826,17.2747313
389.8169954,227.8890538,182.0275803,17.2847647
390.8165261,227.0237616,181.5268624,17.3032751
391.8160569,226.1698468,181.0069364,17.3289745
392.8155876,225.3271785,180.4689282,17.3609841
393.8151184,224.4956515,179.9138687,17.3985394
394.8146492,223.6751274,179.3427208,17.4412298
395.8141799,222.8654313,178.7564118,17.4888798
396.8137107,222.0663414,178.155859,17.541499
397.8132414,221.2775565,177.5419765,17.5993347
398.8127722,220.4987474,176.9156605,17.6622525
399.8123029,219.7296186,176.2778795,17.7306221
400.8118337,218.9697278,175.6290582,17.7996541
401.8113645,218.219767,174.9684121,17.862873
402.8108952,217.481351,174.2948647,17.8777731
403.810426,216.7559568,173.6073656,17.8514908
404.8099567,216.0450023,172.9049995,17.8351816
405.8094875,215.3497487,172.1869009,17.8278913
406.8090182,214.6715184,171.4524919,17.8278913
407.808549,214.0115477,170.701699,17.8278913
408.8080798,213.369531,169.9356347,17.8326925
409.8076105,212.7426298,169.1573409,17.8676941
410.8071413,212.127302,168.3707246,17.8251757
411.806672,211.5203992,167.5779865,17.7318626
412.8062028,210.9218609,166.7778491,17.6548429
413.8057335,210.3341287,165.9692537,17.5915427
414.8052643,209.7592785,165.1513872,17.5399514
415.8047951,209.1990209,164.3233848,17.497847
416.8043258,208.6548421,163.4847141,17.4635331
417.8038566,208.1280136,162.6350011,17.4359459
418.8033873,207.6196937,161.7740342,17.4147114
419.8029181,207.1310127,160.9017171,17.3998221
420.8024488,206.6631159,160.0180155,17.392559
421.8019796,206.2173758,159.1230642,17.392559
422.8015104,205.7950618,158.2171601,17.392559
423.8010411,205.3961191,157.3007932,17.394435
424.8005719,205.0197453,156.3748757,17.4037954
425.8001026,204.6652013,155.4403998,17.4199845
426.7996334,204.331662,154.4982083,17.4430069
427.7991641,204.0182796,153.5491211,17.472753
428.7986949,203.7241676,152.5938806,17.5091384
429.7982257,203.4484104,151.6331769,17.5520928
430.7977564,203.1900647,150.6676411,17.6015558
431.7972872,202.9481626,149.6978513,17.65748
432.7968179,202.721714,148.7243334,17.7198298
433.7963487,202.509709,147.7475652,17.7885817
434.7958795,202.3111196,146.7679784,17.8570652
435.7954102,202.124902,145.7859618,17.9249052
436.794941,201.9499976,144.8018649,17.9921124
437.7944717,201.7853358,143.8160002,18.0586977
438.7940025,201.6298686,142.8286419,18.1246711
439.7935332,201.4827092,141.8400103,18.1900427
440.793064,201.3431769,140.850273,18.2548222
441.7925948,201.2106439,139.8595736,18.3190193
442.7921255,201.0844804,138.868043,18.3826431
443.7916563,200.9640522,137.8757986,18.4457027
444.791187,200.8487195,136.882948,18.508207
445.7907178,200.7378436,135.8896052,18.5701644
446.7902485,200.6307579,134.8958551,18.6315834
447.7897793,200.5266836,133.9017629,18.6924722
448.7893101,200.4247582,132.9074392,18.7528387
449.7888408,200.3241255,131.9129873,18.8126908
450.7883716,200.2239228,130.9184901,18.8720362
451.7879023,200.1232882,129.9240369,18.9308821
452.7874331,200.0213585,128.9297155,18.9892359
453.7869638,199.9172699,127.9356181,19.0471048
454.7864946,199.810158,126.9418422,19.1044956
455.7860254,199.6991582,125.9484936,19.1614152
456.7855561,199.5834053,124.9556885,19.2178701
457.7850869,199.4620344,123.9635555,19.2738669
458.7846176,199.3341806,122.9722382,19.3294119
459.7841484,199.1989798,121.9818975,19.3845114
460.7836791,199.0555689,120.9927139,19.4391713
461.7832099,198.9030868,120.0048898,19.4933978
462.7827407,198.7406745,119.0186518,19.5471965
463.7822714,198.5674765,118.0342524,19.6005732
464.7818022,198.3826423,117.0519749,19.6535335
465.7813329,198.1853265,116.0721286,19.7060829
466.7808637,197.9746909,115.0950657,19.7556321
467.7803944,197.7499149,114.1211685,19.7978781
468.7799252,197.5101298,113.1507429,19.8326766
469.779456,197.2546275,112.1842163,19.8608744
470.7789867,196.983544,111.2220288,19.8886651
471.7785175,196.6976484,110.264186,19.9220462
472.7780482,196.3976891,109.3106243,19.9605402
473.777579,196.0844663,108.3613533,20.0
474.7771097,195.7587912,107.4162922,20.0
475.7766405,195.4215166,106.475337,20.0
476.7761713,195.0735344,105.5383235,20.0
477.775702,194.7157855,104.6050604,20.0
478.7752328,194.349237,103.6752604,20.0
479.7747635,193.9748723,102.7486494,20.0
480.7742943,193.5939949,101.8250581,20.0
481.773825,193.2075778,100.9036715,20.0
482.7733558,192.8152943,99.984331,20.0
483.7728866,192.4167722,99.067599,20.0
484.7724173,192.0116149,98.1537673,20.0
485.7719481,191.5994418,97.2430715,20.0
486.7714788,191.1799335,96.335753,20.0
487.7710096,190.7528714,95.4321168,20.0
488.7705403,190.317979,94.5321924,20.0
489.7700711,189.8751105,93.6361414,20.0
490.7696019,189.4241768,92.744103,20.0
491.7691326,188.9651426,91.8561968,20.0
492.7686634,188.4980154,90.9725295,20.0
493.7681941,188.0227752,90.0932041,20.0
494.7677249,187.5393391,89.2183507,20.0
495.7672556,187.0476203,88.3481244,20.0
496.7667864,186.5475173,87.4826895,20.0
497.7663172,186.0389187,86.6222232,20.0
498.7658479,185.5217028,85.7669158,20.0
499.7653787,184.9957362,84.9169699,20.0
500.7649094,184.4608651,84.0725915,20.0
501.7644402,183.9169302,83.2340164,20.0
502.763971,183.3637557,82.4015009,20.0
503.7635017,182.8011564,81.5753217,20.0
504.7630325,182.2289253,80.7558077,20.0
505.7625632,181.6470151,79.9431541,20.0
506.762094,181.0557991,79.1372282,20.0
507.7616247,180.4557699,78.3378405,20.0
508.7611555,179.8474023,77.5447817,20.0
509.7606863,179.2311662,76.7578204,20.0
510.760217,178.6075286,75.9767115,20.0
511.7597478,177.9769514,75.2011935,20.0
512.7592785,177.3398927,74.4309911,20.0
513.7588093,176.6968042,73.6658146,20.0
514.75834,176.0481359,72.9053625,20.0
515.7578708,175.3943374,72.1493338,20.0
516.7574016,174.7358898,71.3973539,20.0
517.7569323,174.0733753,70.6489383,20.0
518.7564631,173.4074089,69.9035894,20.0
519.7559938,172.7385925,69.1607968,20.0
520.7555246,172.0675203,68.42004,20.0
521.7550553,171.3947759,67.6808009,20.0
522.7545861,170.7208683,66.9426214,20.0
523.7541169,170.0461116,66.2052177,20.0
524.7536476,169.3706837,65.4684286,20.0
525.7531784,168.6946609,64.7321853,20.0
526.7527091,168.0180724,63.9964618,20.0
527.7522399,167.3409404,63.2612384,20.0
528.7517706,166.6632873,62.5264952,20.0
529.7513014,165.9851352,61.7922126,20.0
530.7508322,165.3065063,61.0583706,20.0
531.7503629,164.6274227,60.3249493,20.0
532.7498937,163.9479064,59.5919288,20.0
533.7494244,163.2679795,58.8592892,20.0
534.7489552,162.587664,58.1270104,20.0
535.7484859,161.9069818,57.3950725,20.0
536.7480167,161.2259548,56.6634553,20.0
537.7475475,160.5446049,55.9321388,20.0
538.7470782,159.8629539,55.201103,20.0
539.746609,159.1810236,54.4703277,20.0
540.7461397,158.4988358,53.7397928,20.0
541.7456705,157.8164122,53.0094781,20.0
542.7452012,157.1337744,52.2793636,20.0
543.744732,156.4509442,51.5494291,20.0
544.7442628,155.7679431,50.8196544,20.0
545.7437935,155.0847929,50.0900195,20.0
546.7433243,154.401515,49.360504,20.0
547.742855,153.718131,48.6310879,20.0
548.7423858,153.0346625,47.9017511,20.0
549.7419165,152.351131,47.1724733,20.0
550.7414473,151.667558,46.4432345,20.0
551.7409781,150.9839648,45.7140145,20.0
