 x_m, y_m, vx_mps
-7.8882012,-4.3335772,2.9408118
-7.8286157,-4.3270804,2.9725999
-7.7690682,-4.3205239,3.0038641
-7.7095283,-4.3137553,3.0346216
-7.6500094,-4.3067052,3.0648889
-7.5905289,-4.2993254,3.0946813
-7.5310863,-4.2915872,3.1240136
-7.471688,-4.2834791,3.1528995
-7.412336,-4.2750027,3.1813523
-7.3530324,-4.266168,3.2093846
-7.2937794,-4.2569836,3.2370082
-7.2345822,-4.2474393,3.2642346
-7.1754566,-4.2374991,3.2910745
-7.1164073,-4.2271183,3.3175382
-7.0574417,-4.2162552,3.3436358
-6.9985702,-4.2048723,3.3693765
-6.9398046,-4.1929349,3.3947695
-6.8811575,-4.1804109,3.4198234
-6.8226427,-4.1672705,3.4445465
-6.7642744,-4.1534864,3.4689467
-6.7060675,-4.1390338,3.4930318
-6.6480367,-4.1238907,3.4521172
-6.5901961,-4.1080391,3.3983685
-6.5325589,-4.0914658,3.3436877
-6.475137,-4.0741643,3.2875917
-6.4179403,-4.0561374,3.2294519
-6.3609764,-4.0374003,3.168454
-6.3042498,-4.017985,3.1035605
-6.2477597,-3.9979436,3.0335008
-6.1914956,-3.9773505,2.9568208
-6.1354321,-3.9562989,2.8720878
-6.0794257,-3.9348506,2.7782125
-6.02354,-3.9131342,2.6755496
-5.9677892,-3.8912032,2.5680517
-5.9121632,-3.8689925,2.467848
-5.8566789,-3.8461793,2.3860252
-5.8016875,-3.8223054,2.3185076
-5.7474215,-3.7969097,2.2635571
-5.6940703,-3.7695776,2.219187
-5.6419144,-3.7399962,2.1846832
-5.5912541,-3.7079068,2.1599726
-5.5424176,-3.673103,2.1447125
-5.4957487,-3.6354479,2.1348634
-5.4515401,-3.5949372,2.1265163
-5.4100201,-3.5516785,2.1189048
-5.3713958,-3.5058187,2.1118718
-5.3358635,-3.4575272,2.1052202
-5.3036053,-3.4069943,2.0987306
-5.2747872,-3.3544296,2.0922254
-5.2495574,-3.3000607,2.0856923
-5.2280414,-3.2441192,2.0789657
-5.2103375,-3.1868066,2.0719111
-5.1965581,-3.1284182,2.064336
-5.1867868,-3.0692282,2.0562587
