 x_m, y_m, vx_mps
-4.4333117,6.0074772,4.1766566
-4.4333192,5.9774844,4.1847474
-4.4333262,5.9474917,4.1927984
-4.4333327,5.9174989,4.2008099
-4.4333387,5.8875061,4.2087821
-4.4333443,5.8575134,4.2167154
-4.4333493,5.8275206,4.2246102
-4.4333539,5.7975278,4.2324665
-4.433358,5.767535,4.2402849
-4.4333616,5.7375423,4.2480654
-4.4333649,5.7075495,4.2558084
-4.4333677,5.6775567,4.2635143
-4.4333701,5.6475639,4.2711832
-4.4333722,5.6175711,4.2788153
-4.4333738,5.5875783,4.2864111
-4.4333752,5.5575855,4.2939707
-4.4333762,5.5275927,4.3014944
-4.4333769,5.4975999,4.3089825
-4.4333774,5.4676072,4.3164352
-4.4333775,5.4376143,4.3238527
-4.4333775,5.4076215,4.3312354
-4.4333773,5.3776287,4.3385834
-4.4333769,5.3476359,4.345897
-4.4333763,5.3176431,4.3531764
-4.4333757,5.2876503,4.3604219
-4.4333749,5.2576575,4.3676337
-4.4333741,5.2276646,4.374812
-4.4333733,5.1976718,4.3819571
-4.4333725,5.167679,4.3890692
-4.4333717,5.1376861,4.3961485
-4.433371,5.1076933,4.4031952
-4.4333703,5.0777007,4.4102096
-4.4333696,5.047708,4.4171919
-4.4333689,5.0177153,4.4241423
-4.4333681,4.9877226,4.4310609
-4.4333673,4.9577299,4.4379481
-4.4333664,4.9277373,4.444804
-4.4333655,4.8977446,4.4516288
-4.4333645,4.8677519,4.4584227
-4.4333634,4.8377592,4.465186
-4.4333623,4.8077665,4.4719188
-4.433361,4.7777738,4.4786213
-4.4333596,4.7477811,4.4852938
-4.4333582,4.7177884,4.4919364
-4.4333566,4.6877957,4.4985493
-4.4333549,4.6578029,4.5051327
-4.4333531,4.6278102,4.5116868
-4.4333511,4.5978175,4.5182118
-4.4333491,4.5678248,4.5247078
-4.433347,4.537832,4.5311751
-4.4333447,4.5078393,4.5376138
-4.4333424,4.4778466,4.5440241
-4.4333399,4.4478538,4.5504062
-4.4333374,4.4178611,4.5567602
-4.4333348,4.3878683,4.5630864
-4.4333321,4.3578755,4.5693849
-4.4333293,4.3278828,4.5756559
-4.4333266,4.29789,4.5818995
-4.4333237,4.2678972,4.5881159
-4.4333209,4.2379044,4.5943054
-4.433318,4.2079116,4.6004679
-4.4333152,4.1779188,4.6066038
-4.4333123,4.147926,4.6127132
