# x_m,y_m,w_tr_right_m,w_tr_left_m
16.823548387096775,7.900322580645161,0.22,0.22
16.846774193548388,7.920967741935484,0.22,0.22
16.86967741935484,7.941612903225806,0.22,0.22
16.892258064516128,7.962903225806452,0.22,0.22
16.914193548387097,7.984193548387096,0.22,0.22
16.9358064516129,8.005806451612903,0.22,0.22
16.956451612903226,8.02774193548387,0.22,0.22
16.976774193548387,8.049677419354838,0.22,0.22
16.996129032258064,8.072258064516129,0.22,0.22
17.01483870967742,8.095161290322581,0.22,0.22
17.03290322580645,8.118064516129031,0.22,0.22
17.049999999999997,8.141612903225806,0.22,0.22
17.066129032258065,8.165161290322581,0.22,0.22
17.081290322580646,8.189032258064517,0.22,0.22
17.095483870967744,8.213225806451613,0.22,0.22
17.108709677419355,8.237741935483871,0.22,0.22
17.120645161290323,8.262258064516129,0.22,0.22
17.131612903225808,8.287096774193548,0.22,0.22
17.141290322580645,8.31225806451613,0.22,0.22
17.15,8.337419354838708,0.22,0.22
17.157096774193548,8.362580645161291,0.22,0.22
17.16290322580645,8.388064516129031,0.22,0.22
17.16741935483871,8.413225806451614,0.22,0.22
17.17064516129032,8.438709677419356,0.22,0.22
17.17258064516129,8.463870967741935,0.22,0.22
17.17290322580645,8.489032258064517,0.22,0.22
17.171935483870968,8.514193548387096,0.22,0.22
17.169677419354837,8.539032258064516,0.22,0.22
17.1658064516129,8.563870967741936,0.22,0.22
17.160645161290322,8.588064516129032,0.22,0.22
17.153870967741934,8.61225806451613,0.22,0.22
17.145806451612902,8.636129032258065,0.22,0.22
17.136451612903226,8.65967741935484,0.22,0.22
17.125806451612902,8.682580645161291,0.22,0.22
17.113548387096774,8.70516129032258,0.22,0.22
17.100322580645162,8.72709677419355,0.22,0.22
17.085806451612903,8.749032258064517,0.22,0.22
17.07,8.77,0.22,0.22
17.05290322580645,8.790645161290323,0.22,0.22
17.03483870967742,8.810967741935483,0.22,0.22
17.015806451612903,8.830322580645161,0.22,0.22
16.995806451612903,8.849677419354839,0.22,0.22
16.97483870967742,8.868064516129033,0.22,0.22
16.952903225806452,8.886129032258065,0.22,0.22
16.93032258064516,8.903548387096773,0.22,0.22
16.906774193548387,8.920645161290324,0.22,0.22
